URL,Content Type,Size (bytes),# of outlinks
"https://www.latimes.com/lifestyle/story/2022-02-10/14-of-our-favorite-la-affairs-columns-about-love
","text/html
","259257
","150
"
"https://www.latimes.com/sports/rams/story/2021-01-02/john-wolford-starting-quarterback-rams-cardinals-nfl
","text/html
","250890
","151
"
"https://www.latimes.com/science/story/2022-02-15/where-a-mask-is-required-in-california
","text/html
","332822
","173
"
"https://www.latimes.com/environment
","text/html
","236285
","138
"
"https://www.latimes.com/california/story/2022-02-16/fatal-deputy-shooting-of-woman-near-lancaster-family-disturbance-call
","text/html
","231638
","142
"
"https://www.latimes.com/sports/highschool/story/2022-02-16/high-school-city-section-boys-soccer-results-wednesday
","text/html
","271323
","157
"
"https://www.latimes.com/business/la-fi-garcetti-green-new-deal-los-angeles-20190429-story.html
","text/html
","308908
","166
"
"https://www.latimes.com/topic/education
","text/html
","245044
","156
"
"https://www.latimes.com/sports/rams/story/2022-02-14/rams-repeat-questions-roster-aaron-donalds-future
","text/html
","219155
","127
"
"https://www.latimes.com/california/story/2022-02-16/singer-percussionist-steve-salas-co-founder-of-tierra-dies-at-69?_amp=true
","text/html
","248062
","138
"
"https://www.latimes.com/vegasguide
","text/html
","263074
","148
"
"https://www.latimes.com/world-nation/story/2022-02-17/as-china-encroaches-on-latin-america-what-happens-to-democracies
","text/html
","270943
","145
"
"https://www.latimes.com/lifestyle/story/2022-01-29/la-affairs-robert-soto-keating-hopelessly-devoted-to-her
","text/html
","239971
","151
"
"https://www.latimes.com/sports/rams/story/2022-02-13/super-bowl-lvi-matthew-stafford-delivers-win-over-bengals
","text/html
","324454
","159
"
"https://www.latimes.com/science
","text/html
","222538
","132
"
"https://www.latimes.com/people/andrew-j-campa
","text/html
","271933
","164
"
"https://www.latimes.com/sports/hockey
","text/html
","198167
","127
"
"https://www.latimes.com/about/shortdocs
","text/html
","274821
","163
"
"https://www.latimes.com/entertainment-arts/music
","text/html
","254749
","147
"
"https://www.latimes.com/opinion/story/2022-02-08/socal-gas-climate-fine
","text/html
","583934
","213
"
"https://www.latimes.com/california/photography
","text/html
","549563
","308
"
"https://www.latimes.com/california/liveblog/rams-super-bowl-parade-los-angeles-live-updates
","text/html
","264533
","155
"
"https://www.latimes.com/business/story/2022-02-16/column-trump-trade-deal-china
","text/html
","260643
","155
"
"https://www.latimes.com/opinion/story/2022-02-16/commentary-san-francisco-school-board-members-ignored-parents-and-students-so-they-were-ousted
","text/html
","237188
","143
"
"https://www.latimes.com/sports/highschool/story/2022-02-16/high-school-basketball-southern-section-girls-playoff-results-and-updated-pairings
","text/html
","340074
","169
"
"https://www.latimes.com/topic/transportation
","text/html
","209270
","135
"
"https://www.latimes.com/opinion/story/2022-02-16/gas-ban-building-electrification?_amp=true
","text/html
","275382
","146
"
"https://www.latimes.com/entertainment-arts/tv/story/2022-02-16/netflix-jeen-yuhs-kanye-west-docuseries
","text/html
","230852
","100
"
"https://www.latimes.com/espanol/eeuu/articulo/2022-02-16/una-guerra-mas-alla-de-ucrania-depende-de-muchas-incognitas
","text/html
","240645
","139
"
"https://www.latimes.com/world/europe/la-et-chicano27-2008may27-story.html
","text/html
","253533
","145
"
"https://www.latimes.com/opinion/story/2022-02-16/donald-trump-presidential-records-act-national-archives
","text/html
","258788
","150
"
"https://www.latimes.com/california/story/2022-02-11/inglewoods-1-billion-fix-for-sofis-traffic-problems
","text/html
","254646
","143
"
"https://www.latimes.com/california/story/2022-02-15/san-francisco-votes-in-school-board-recall-election
","text/html
","290519
","138
"
"https://www.latimes.com/sports/story/2022-02-16/eileen-gu-beijing-olympics-us-china-politics
","text/html
","251419
","153
"
"https://www.latimes.com/sports/rams/story/2022-02-13/super-bowl-lvi-breaking-down-rams-winning-drive
","text/html
","247822
","140
"
